Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lesotho,60,120,300,600,1400,2500,4000,5900,8100,10000,12000,14000,16000,18000,19000,19000,18000,16000,14000,14000,NA,NA
Liberia,60,60,120,300,600,600,1400,1900,2500,3100,3500,3900,4100,4200,4300,4300,4200,4000,3900,3600,NA,NA
Lithuania,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Luxembourg,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Madagascar,600,1000,1000,1000,1000,1100,1100,1100,1200,1200,1300,1300,1400,1400,1500,1500,1600,1600,1700,1700,NA,NA
Malawi,14000,18000,22000,27000,31000,36000,41000,45000,50000,55000,59000,63000,67000,71000,74000,77000,75000,68000,62000,55000,49000,44000
Malaysia,60,120,300,300,600,1100,1500,2000,2500,3000,3500,3900,4400,4500,4600,4900,5200,5400,5600,5800,NA,NA
Maldives,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mali,300,600,600,1500,2300,3200,4100,4900,5700,6300,6900,7200,7400,7400,7100,6100,5200,4700,4700,4400,NA,NA
Malta,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mauritania,350,350,350,350,350,350,350,600,600,600,600,600,600,600,600,1000,1100,1100,1100,1200,1300,1500
Mauritius,60,60,60,60,60,60,60,60,150,150,350,350,350,350,350,600,600,600,600,600,600,600
Mexico,4800,5300,5800,6300,6700,7200,7600,7900,7500,7700,7900,7800,7600,7200,6700,6700,6600,6100,5600,5200,5000,4900
Moldova,60,60,60,60,60,60,150,150,350,350,600,600,600,600,1000,1100,1100,1100,1100,1100,1000,1000
Mongolia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Morocco,120,120,300,300,300,300,300,300,600,600,600,600,600,600,600,600,1000,1100,1200,1200,NA,NA
Mozambique,2200,3200,4500,6300,8600,11000,15000,19000,24000,30000,36000,43000,50000,58000,65000,71000,74000,74000,73000,74000,NA,NA
Myanmar,350,350,600,1400,2100,3000,3900,4900,6100,7300,8600,10000,12000,13000,15000,16000,17000,17000,17000,17000,17000,16000
Namibia,350,600,600,1000,1400,1900,2600,3500,4600,5800,7200,8600,10000,11000,12000,13000,12000,10000,8200,6600,5700,5200
Nepal,600,600,1100,1400,1700,2000,2300,2700,3000,3300,3700,4000,4300,4500,4800,4900,4900,4900,4800,4700,NA,NA
Netherlands,150,150,350,350,350,350,600,350,350,350,350,150,150,150,150,150,150,150,150,150,150,150
New Zealand,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Nicaragua,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,150,150,350,350,350
Niger,600,600,1000,1200,1400,1600,1800,2100,2300,2600,2900,3200,3400,3700,4000,4200,4300,4300,4400,4500,4000,4000
Nigeria,4400,7600,12000,19000,28000,40000,54000,71000,91000,110000,130000,150000,170000,190000,210000,210000,220000,220000,220000,210000,210000,210000
Norway,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Oman,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
Pakistan,60,60,120,120,300,300,300,300,600,600,1100,1400,1700,2200,2700,3300,4000,4600,5200,5800,NA,NA
Panama,350,350,600,600,1000,1200,1500,1700,1900,2100,2000,2100,2200,2200,2100,2000,1900,1800,1700,1500,1300,1200
Papua New Guinea,60,150,350,350,350,600,600,600,1000,1200,1400,1600,1700,1900,2000,2100,2100,2000,1800,1400,1200,1100
Peru,1100,1300,1700,2100,2600,3200,3900,4600,5300,5900,6400,6800,7000,6900,6700,6700,6300,5800,5100,4100,3500,3000
Philippines,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,120,120,120,NA,NA
Poland,150,150,350,350,350,350,350,350,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Portugal,150,150,150,350,350,350,600,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Qatar,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
Romania,60,60,60,150,150,350,350,350,350,150,150,150,150,350,350,350,350,350,600,600,600,350
Rwanda,14000,14000,15000,15000,16000,16000,17000,18000,20000,21000,21000,21000,21000,21000,21000,20000,16000,12000,9600,8500,7300,6400
Sao Tome and Principe,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Senegal,350,350,350,350,350,600,600,600,600,1000,1200,1400,1500,1600,1700,1800,1600,1700,1800,2000,1800,1600
Serbia,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,150,150,150,60,60,150,150
Sierra Leone,60,60,60,60,60,150,150,350,350,350,600,600,1100,1400,1700,2000,2200,2500,2700,2800,2700,2600
Singapore,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,60,60,60,60,60,NA,NA
Slovak Republic,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Slovenia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Somalia,600,600,1000,1200,1400,1700,1900,2100,2300,2500,2700,2800,2900,3000,3100,3100,3100,3100,3100,3100,3100,3100
South Africa,2200,3600,5900,9800,16000,26000,41000,61000,89000,120000,160000,210000,260000,300000,340000,370000,390000,390000,380000,340000,300000,270000
Spain,3000,3500,4000,4600,5200,5900,5900,3700,1800,2000,2000,1800,1700,1700,1700,1700,1700,1600,1600,1600,NA,NA
Sri Lanka,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,350,350,350
Sudan,350,600,600,1400,1900,2500,3100,3800,4500,5100,5600,6000,6300,6400,6400,6300,6200,6000,5700,5700,5600,5600
Suriname,60,150,150,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,350,350,350,350
Swaziland,350,600,600,600,1300,1800,2400,3000,3800,4700,5700,6700,7700,8500,9300,9900,9800,9200,8600,8100,7800,6800
Sweden,60,60,60,150,150,350,150,150,150,60,60,60,60,60,60,60,60,60,60,60,60,60
Switzerland,150,350,350,350,350,600,600,350,60,60,60,150,150,60,60,60,60,60,60,60,60,60
Tajikistan,60,60,60,60,60,60,60,120,120,120,120,120,300,300,300,300,300,300,300,300,NA,NA
Tanzania,22000,30000,40000,51000,63000,76000,89000,100000,110000,120000,120000,130000,130000,130000,130000,130000,130000,120000,100000,96000,91000,84000
Thailand,1100,3600,8600,16000,25000,34000,42000,49000,48000,55000,56000,52000,47000,39000,27000,21000,21000,25000,28000,28000,NA,NA
Togo,300,300,600,600,1300,1800,2400,3200,4000,4800,5600,6400,7100,7600,8000,7900,8000,8400,8300,7700,NA,NA
Trinidad and Tobago,60,60,60,150,150,350,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600
Tunisia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Turkey,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,60,60,60,120,NA,NA
Uganda,85000,95000,100000,110000,110000,110000,110000,110000,110000,110000,100000,100000,97000,93000,89000,82000,74000,74000,74000,69000,66000,62000
Ukraine,60,60,60,60,150,350,600,1400,2600,4300,6400,9000,12000,15000,18000,20000,21000,23000,23000,23000,23000,22000
United Kingdom,600,1100,1200,1400,1500,1600,1300,600,350,350,350,350,350,350,350,350,350,350,350,350,350,350
United States,32000,39000,45000,51000,56000,59000,59000,38000,33000,25000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,20000,20000
Uruguay,60,60,60,60,60,60,150,150,350,350,350,350,350,600,600,600,600,600,600,600,600,600
Uzbekistan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,300,300,300,NA,NA
Venezuela,1100,1300,1500,1700,2000,2200,2500,2800,3100,3400,3700,3800,3400,3000,2800,2700,2700,2800,3000,3200,3100,2900
Vietnam,300,300,600,600,1000,1300,1700,2200,2800,3600,4500,5500,6800,8200,9800,11000,13000,13000,14000,14000,NA,NA
Yemen,60,60,60,60,60,60,60,150,150,350,350,350,600,600,600,600,1100,1200,1300,1400,1500,1600
Zambia,23000,29000,34000,39000,44000,49000,53000,57000,60000,63000,66000,68000,69000,71000,70000,65000,60000,49000,42000,45000,NA,NA
Zimbabwe,23000,32000,43000,55000,68000,82000,96000,110000,120000,140000,150000,150000,160000,160000,150000,150000,140000,130000,110000,98000,78000,58000
